size	Java	Scala-pickling	Kryo
1000	31	36	26
2000	43	48	28
3000	44	36	23
4000	70	31	26
5000	101	27	29
6000	146	31	36
7000	187	35	40
8000	-	40	44
9000	-	47	51
10000	-	50	55
