size	Java	Scala-pickling	Kryo
100000	1	1	3
200000	3	2	5
300000	3	2	6
400000	4	2	8
500000	5	2	10
600000	6	2	13
700000	7	3	14
800000	7	3	16
900000	8	3	18
1000000	8	4	19
