size	Java	Scala-pickling	Kryo
100000	1438	1453	1333
200000	1419	1431	1331
300000	1402	1414	1322
400000	1365	1396	1320
500000	1348	1387	1318
600000	1337	1361	1308
700000	1285	1344	1306
800000	1267	1331	1304
900000	1251	1317	1294
1000000	1234	1307	1293
