size	Java	Scala-pickling	Kryo
100000	1008	390	392
200000	2016	781	792
300000	3024	1171	1192
400000	4032	1562	1592
500000	5040	1953	1992
600000	6048	2343	2392
700000	7056	2734	2792
800000	8064	3125	3192
900000	9072	3515	3592
1000000	10081	3906	3992
