size	Java	Scala-pickling	Kryo
20000	-	97	114
22000	-	106	119
24000	-	120	129
26000	-	119	136
28000	-	127	146
30000	-	135	157
32000	-	145	165
34000	-	154	177
36000	-	164	196
38000	-	165	211
